"metabolites","sample","scaled_abundance","abundance","io","qc","corrected_abundance"
"Glyco_Bile_3OH","Sample_011904",1.18431747124107,57567.9111084157,60,FALSE,44823.6959747767
"Glyco_Bile_3OH","QC_S_6",0.497037034093776,25694.7475818245,61,TRUE,19737.9229017835
"Glyco_BileOH","QC_S_1",48.148499987468,111250.048039136,1,TRUE,159141.010960299
"Glyco_BileOH","Sample_011820",199.10259784959,566798.115364796,3,FALSE,798191.287870429
"Glyco_BileOH","Sample_011860",212.377466480125,618194.782806086,4,FALSE,863856.915432922
"Glyco_BileOH","Sample_011865",70.5804162041248,182761.911117878,5,FALSE,253434.590751921
"Glyco_BileOH","Sample_011870",232.257623242306,631517.821095441,6,FALSE,869070.414651387
"Glyco_BileOH","Sample_011830",289.739771908975,777263.452430657,7,FALSE,1061577.74916731
"Glyco_BileOH","Sample_011835",75.0112406498546,192030.146258205,8,FALSE,260310.598297398
"Glyco_BileOH","Sample_011840",280.457204281195,735894.459799413,9,FALSE,990150.370464475
"Glyco_BileOH","Sample_011890",357.443933189672,919006.641576581,10,FALSE,1227414.92547939
"Glyco_BileOH","Sample_011895",262.363054560467,676150.741654579,11,FALSE,896451.920459436
"Glyco_BileOH","Sample_011900",264.132753592476,675189.766139359,12,FALSE,888675.684755991
"Glyco_BileOH","QC_S_2",48.148499987468,121788.920042724,13,TRUE,159141.010960299
"Glyco_BileOH","Sample_011821",323.348187118994,947216.461095171,15,FALSE,1077522.7824722
"Glyco_BileOH","Sample_011861",168.706701570034,512754.056084939,16,FALSE,547838.59778785
"Glyco_BileOH","Sample_011866",184.174846334143,587808.144555948,17,FALSE,592042.499422345
"Glyco_BileOH","Sample_011871",251.325919324991,849508.56979318,18,FALSE,809258.07795224
"Glyco_BileOH","Sample_011831",323.294805537387,1159744.18219532,19,FALSE,1047999.02464408
"Glyco_BileOH","Sample_011836",153.91434244992,575098.622843164,20,FALSE,494276.168659945
"Glyco_BileOH","Sample_011841",176.882340687402,686587.36869656,21,FALSE,562589.111633649
"Glyco_BileOH","Sample_011891",42.3062367089168,179820.180379874,22,FALSE,140781.910619907
"Glyco_BileOH","Sample_011896",297.94093155016,1270359.2150016,23,FALSE,952160.718752391
"Glyco_BileOH","Sample_011901",50.9800090021315,232557.734245919,24,FALSE,167178.389496837
"Glyco_BileOH","QC_S_3",48.148499987468,230430.609307637,25,TRUE,159141.010960299
"Glyco_BileOH","Sample_011822",171.700659044099,726399.793473111,27,FALSE,552594.550338227
"Glyco_BileOH","Sample_011862",162.564644964281,644198.14358217,28,FALSE,516264.573710484
"Glyco_BileOH","Sample_011867",151.185314548784,569435.335923788,29,FALSE,482128.33987395
"Glyco_BileOH","Sample_011872",187.967059204633,669774.729648672,30,FALSE,601036.016970218
"Glyco_BileOH","Sample_011832",180.139599420787,617093.941131696,31,FALSE,589028.242241937
"Glyco_BileOH","Sample_011837",195.60234379933,624779.428324292,32,FALSE,636926.980316635
"Glyco_BileOH","Sample_011842",205.91292953447,617134.410233472,33,FALSE,675047.927582438
"Glyco_BileOH","Sample_011892",210.717976593996,590566.185275439,34,FALSE,696842.545974409
"Glyco_BileOH","Sample_011897",423.625482895831,1111296.84941806,35,FALSE,1423336.07302254
"Glyco_BileOH","Sample_011902",289.08940510398,701801.926250816,36,FALSE,982847.680466099
"Glyco_BileOH","QC_S_4",48.148499987468,103016.742131368,37,TRUE,159141.010960299
"Glyco_BileOH","Sample_011823",84.6940134270778,204031.038740131,39,FALSE,286075.152216037
"Glyco_BileOH","Sample_011863",300.299057765857,756450.306086922,40,FALSE,1013808.9899595
"Glyco_BileOH","Sample_011868",206.07269578435,541108.05885644,41,FALSE,694542.39571325
"Glyco_BileOH","Sample_011873",75.8892765353015,204459.553828564,42,FALSE,251789.834324032
"Glyco_BileOH","Sample_011833",307.011897137461,866056.540582289,43,FALSE,1024963.13646031
"Glyco_BileOH","Sample_011838",214.835771960601,627065.716152944,44,FALSE,714277.139954355
"Glyco_BileOH","Sample_011843",188.132874819763,566578.687509683,45,FALSE,622038.738949186
"Glyco_BileOH","Sample_011893",179.206375007418,562470.307064197,46,FALSE,595975.813962796
"Glyco_BileOH","Sample_011898",245.740916700084,787634.652529448,47,FALSE,806408.349213093
"Glyco_BileOH","Sample_011903",276.728572677159,925650.195082719,48,FALSE,916795.500635497
"Glyco_BileOH","QC_S_5",48.148499987468,165919.980594137,49,TRUE,159141.010960299
"Glyco_BileOH","Sample_011824",201.093840853991,723374.7804121,51,FALSE,656545.170065196
"Glyco_BileOH","Sample_011864",178.606749607532,654676.326688051,52,FALSE,578649.790641038
"Glyco_BileOH","Sample_011869",155.089929706977,580451.548900239,53,FALSE,499965.857489909
"Glyco_BileOH","Sample_011874",287.938786190325,1116345.22012508,54,FALSE,937649.280015163
"Glyco_BileOH","Sample_011834",239.328491160275,944254.614054842,55,FALSE,773868.225732083
"Glyco_BileOH","Sample_011839",184.61572259285,737421.119952599,56,FALSE,590044.888965774
"Glyco_BileOH","Sample_011844",55.7324601861645,235800.63772109,57,FALSE,184310.32347771
"Glyco_BileOH","Sample_011894",128.473664722696,534779.953139998,58,FALSE,408552.13948061
"Glyco_BileOH","Sample_011899",133.076283302221,566504.772212114,59,FALSE,423219.538939414
"Glyco_BileOH","Sample_011904",151.852829179208,654462.542758642,60,FALSE,478353.622493737
"Glyco_BileOH","QC_S_6",48.148499987468,222439.765646791,61,TRUE,159141.010960299
"Glycolate","QC_S_1",2995.34431028571,10521417.7034134,1,TRUE,4237819.4331827
"Glycolate","Sample_011820",243.463777625635,926720.597790721,3,FALSE,417792.615024228
"Glycolate","Sample_011860",62.8311866129231,228183.483990634,4,FALSE,109396.892702405
"Glycolate","Sample_011865",1043.01274844114,3131750.69148221,5,FALSE,1603125.92871605
"Glycolate","Sample_011870",138.347294069715,403566.661175807,6,FALSE,221590.94193933
"Glycolate","Sample_011830",127.349540008456,337323.364760131,7,FALSE,199727.294886514
"Glycolate","Sample_011835",1415.61103323406,3273310.5925158,8,FALSE,2102837.85643874
"Glycolate","Sample_011840",155.905151127532,335580.296239536,9,FALSE,235608.722532871
"Glycolate","Sample_011890",451.081480294079,856643.2370147,10,FALSE,663032.493967688
"Glycolate","Sample_011895",205.373951796855,348347.889472127,11,FALSE,300376.553161069
"Glycolate","Sample_011900",257.440790832943,380920.491876067,12,FALSE,370761.59824571
"Glycolate","QC_S_2",2995.34431028571,3793255.82440179,13,TRUE,4237819.4331827
"Glycolate","Sample_011821",1148.81008071963,1385379.70683043,15,FALSE,1638704.38174096
"Glycolate","Sample_011861",147.742131298592,168514.115468815,16,FALSE,205362.431852001
"Glycolate","Sample_011866",352.029559683785,385444.791146914,17,FALSE,484393.208934886
"Glycolate","Sample_011871",888.531128928335,944078.79714527,18,FALSE,1224669.09122968
"Glycolate","Sample_011831",855.762701454651,885881.11648275,19,FALSE,1187440.48448732
"Glycolate","Sample_011836",321.14951320113,318383.151883752,20,FALSE,441462.882379027
"Glycolate","Sample_011841",372.579657376957,353227.823301961,21,FALSE,507250.32162725
"Glycolate","Sample_011891",3166.14780218725,3028490.30774326,22,FALSE,4509931.97009261
"Glycolate","Sample_011896",1204.3962319787,1065444.59520882,23,FALSE,1647577.39115531
"Glycolate","Sample_011901",3129.83536588952,2731936.38851034,24,FALSE,4393372.92313657
"Glycolate","QC_S_3",2995.34431028571,2529931.33312732,25,TRUE,4237819.4331827
"Glycolate","Sample_011822",1574.74467377503,1415852.73793612,27,FALSE,2169407.46255066
"Glycolate","Sample_011862",412.01281109122,381122.090182933,28,FALSE,560084.160860813
"Glycolate","Sample_011867",356.006273402509,344211.067918314,29,FALSE,485967.302794309
"Glycolate","Sample_011872",312.880804031901,315244.75034851,30,FALSE,428246.691191473
"Glycolate","Sample_011832",1312.35780835365,1403280.07982155,31,FALSE,1836857.77792897
"Glycolate","Sample_011837",303.239932793204,334661.311158565,32,FALSE,422666.988504607
"Glycolate","Sample_011842",284.706046025147,327455.86164289,33,FALSE,399525.061491065
"Glycolate","Sample_011892",252.966563461849,303460.318547881,34,FALSE,358090.284829888
"Glycolate","Sample_011897",763.61623737601,961254.358140231,35,FALSE,1098239.04557013
"Glycolate","Sample_011902",266.350034692629,350055.927291241,36,FALSE,387617.2941068
"Glycolate","QC_S_4",2995.34431028571,3945091.02725475,37,TRUE,4237819.4331827
"Glycolate","Sample_011823",2458.5631689142,3178989.21717672,39,FALSE,3554717.90477654
"Glycolate","Sample_011863",218.191725243896,276207.714979207,40,FALSE,315309.30763934
"Glycolate","Sample_011868",393.027268879414,486319.445364486,41,FALSE,567018.642540433
"Glycolate","Sample_011873",2723.58896747735,3246738.12142827,42,FALSE,3868082.17547924
"Glycolate","Sample_011833",888.466230902065,1042467.21228628,43,FALSE,1269668.40472993
"Glycolate","Sample_011838",331.387748282932,378590.305726863,44,FALSE,471620.797707879
"Glycolate","Sample_011843",531.268215811973,589817.782479757,45,FALSE,751904.909721629
"Glycolate","Sample_011893",897.46895249754,978785.606832201,46,FALSE,1277588.39996305
"Glycolate","Sample_011898",357.121945935484,375128.907360285,47,FALSE,501637.999386444
"Glycolate","Sample_011903",1169.50932369554,1209878.08586204,48,FALSE,1658511.56713909
"Glycolate","QC_S_5",2995.34431028571,3013872.10709574,49,TRUE,4237819.4331827
"Glycolate","Sample_011824",886.913540168264,813723.016740902,51,FALSE,1239491.27183594
"Glycolate","Sample_011864",417.803069214173,364538.076350509,52,FALSE,579409.892088373
"Glycolate","Sample_011869",490.00953409273,406927.82989607,53,FALSE,676172.687925285
"Glycolate","Sample_011874",1113.53511456988,891672.93669353,54,FALSE,1552174.40540509
"Glycolate","Sample_011834",1003.78927134106,760145.679207534,55,FALSE,1389349.49713493
"Glycolate","Sample_011839",478.095737165718,339975.071801975,56,FALSE,654075.054269314
"Glycolate","Sample_011844",2309.0369784965,1609603.12474979,57,FALSE,3268651.967046
"Glycolate","Sample_011894",512.649036085808,324555.910435346,58,FALSE,697830.372469419
"Glycolate","Sample_011899",594.756406895943,354426.339592756,59,FALSE,809655.969166209
"Glycolate","Sample_011904",583.867133171026,323109.714914803,60,FALSE,787293.29795383
"Glycolate","QC_S_6",2995.34431028571,1623348.60380317,61,TRUE,4237819.4331827
"Glyoxylate","QC_S_1",25.1769303716014,73519.7778953325,1,TRUE,204846.136468365
"Glyoxylate","Sample_011820",62.5499976191404,250776.418936695,3,FALSE,617281.130876067
"Glyoxylate","Sample_011860",73.4736203769209,316298.085436128,4,FALSE,735682.5690184
"Glyoxylate","Sample_011865",35.4919500285645,142307.039031655,5,FALSE,313716.372358095
"Glyoxylate","Sample_011870",56.4744735675778,248284.808212339,6,FALSE,520190.991622224
"Glyoxylate","Sample_011830",42.7812781462927,193302.894959498,7,FALSE,385854.079499808
"Glyoxylate","Sample_011835",47.1072559881805,211130.445492771,8,FALSE,402419.443862307
"Glyoxylate","Sample_011840",49.5445591575982,236101.751455958,9,FALSE,430582.296576929
"Glyoxylate","Sample_011890",55.2385136980893,267088.171568214,10,FALSE,466929.272968744
"Glyoxylate","Sample_011895",43.7355129153094,219130.800081351,11,FALSE,367861.379461341
"Glyoxylate","Sample_011900",39.9957846794733,205167.732498381,12,FALSE,331253.829567022
"Glyoxylate","QC_S_2",25.1769303716014,131725.434242554,13,TRUE,204846.136468365
"Glyoxylate","Sample_011821",58.7717395058886,377599.286230307,15,FALSE,482114.533404743
"Glyoxylate","Sample_011861",53.3392610011716,363826.574240125,16,FALSE,426376.180154052
"Glyoxylate","Sample_011866",26.116919089409,190832.585600127,17,FALSE,206666.535138889
"Glyoxylate","Sample_011871",27.8442066073214,219262.532159287,18,FALSE,220704.027543112
"Glyoxylate","Sample_011831",29.674103851566,251839.960976411,19,FALSE,236791.119899576
"Glyoxylate","Sample_011836",29.0911331766909,260706.098776676,20,FALSE,229973.008333828
"Glyoxylate","Sample_011841",20.2717812861525,191051.629944103,21,FALSE,158717.350602777
"Glyoxylate","Sample_011891",21.5158498171647,224507.18087656,22,FALSE,176248.97974451
"Glyoxylate","Sample_011896",24.1494729849721,255315.759364229,23,FALSE,189982.410865088
"Glyoxylate","Sample_011901",23.6282837052406,269699.497355004,24,FALSE,190738.364171652
"Glyoxylate","QC_S_3",25.1769303716014,304004.106934839,25,TRUE,204846.136468365
"Glyoxylate","Sample_011822",24.9288383263105,277632.209263859,27,FALSE,197497.828112524
"Glyoxylate","Sample_011862",22.4591924798784,239941.21050452,28,FALSE,175576.347179181
"Glyoxylate","Sample_011867",22.5966983642155,235470.84826343,29,FALSE,177387.775883176
"Glyoxylate","Sample_011872",19.8433161485577,201218.85975153,30,FALSE,156191.951180929
"Glyoxylate","Sample_011832",22.8277793169246,229520.48587981,31,FALSE,183745.299858559
"Glyoxylate","Sample_011837",25.7165392719478,249417.658981361,32,FALSE,206135.961555553
"Glyoxylate","Sample_011842",20.2331587433469,191173.161695379,33,FALSE,163282.757976252
